Env,r,rMain,RMSE,RMSEmain,MAD,rank,rankMain
WMaA20MADD6,0.742867072327455,0.815951384554977,15.9355541749615,13.9904452757583,12.7511692919933,0.8,0.8
WMaA20MERR6,0.562060450093786,0.573029888091888,25.2793460453578,25.0354049972172,20.6401567797229,0.6,0.4
WMaA20MILI6,0.781214483150239,0.708639555655551,19.096110510447,20.8847999179843,15.782773028341,0.6,0.6
WMaA20MING6,0.478700292620772,0.417856418673157,27.8708025266909,28.9792250496594,20.9342145744831,0.6,0.8
WMaA20MORA6,0.743479394134035,0.586172886825597,11.3169721918965,14.8969763506259,8.8012477399807,0.4,0.6
WMaA20MORK6,0.801647477244194,0.715652448939846,18.383047460558,21.5231250820723,13.7681751660457,1,0.8
WMaA20MUKI6,0.641970732121869,0.492130173806439,14.4553834369428,16.7265334540389,11.0714639404695,0.6,0.6
WMaA20MULL6,0.713293919128615,0.528084895850529,25.88228388526,29.2990424335304,21.2176179309628,0.8,0.6
WMaA20MUNG6,0.561964615859342,0.237140977961209,26.2731947077967,32.3492213234061,20.9523117927417,0.4,0.2
WMaA20NABA6,0.449188477829932,0.258423477786396,27.242732658968,30.7947956566015,23.6688218670736,0.4,0.2
WMaA20NAGN6,0.732440890139762,0.737701451698596,18.1039626847902,18.1403097223716,14.264353079445,0.6,0.6
WMaA20NARE6,0.876424655143139,0.719707748015439,10.4645515873113,15.1108403725118,8.69338258880344,0.8,0.8
WMaA20OLGI6,0.606520834248697,0.571037145873614,29.3391321505966,29.9303985899679,23.1974587637147,0.8,1
WMaA20SALM6,0.710608554895059,0.640839503537926,25.8261973067601,27.8981288577047,22.0466096692675,0.6,0.8
WMaA20SCAD6,0.792962853728269,0.753439353473623,21.804123605127,23.4421603804421,18.1721582719989,0.8,1
WMaA20ST.S6,0.592855430908587,0.304629144389281,36.2738131805291,42.7421275088692,28.9423385100078,0.6,0.2
WMaA20TRAY6,0.902955552572907,0.800199009422922,12.2775390946305,16.2257347042728,10.0756077330001,0.8,0.4
WMaA20WAGI6,0.786625064910896,0.811882844606651,15.682090954634,15.2623170603093,12.5593104161926,0.6,0.6
WMaA20WYAL6,0.738396164742402,0.691508292643104,12.2152708579147,12.7661043216463,9.7203286787955,0.8,0.6
WMaA20YEAL6,0.775494220296042,0.691187101202627,17.1116958725665,19.3399806889249,13.4639040657133,1,0.8
WMaA20YORK6,0.799497088871741,0.874032844460092,12.9016141652203,10.4281734692436,10.4843232639398,0.8,1
WMaA20YUNA6,0.636125522160938,0.599807329503112,24.7415067952335,25.3217652757893,19.805234291445,0.4,0.6
WMaA21BALL6,0.783836523431866,0.767982383686231,32.006244547082,33.1861273040477,24.4538179282542,0.6,0.6
WMaA21BENC6,0.412838883377776,0.318104373559164,44.9869482090575,47.0101234179141,34.7230035784249,0.6,0.6
WMaA21BEVE6,0.650124475125459,0.635536576885322,28.3713970262685,28.8191814173065,22.8371866520882,0.6,0.6
WMaA21BOLG6,0.857692404754289,0.853260696076003,31.2452380814068,32.3774490010192,25.062055277161,0.8,0.8
WMaA21BUNT6,0.546930413994987,0.501607642801465,56.518704803006,58.0290155717359,46.4523500168443,0.6,0.4
WMaA21CADO6,0.610117314893797,0.631133088036297,20.0517961094641,19.2388799400592,16.5299435641058,0.6,0.6
WMaA21COOR6,0.724282742184531,0.700499144433625,27.8427874279955,29.2292733263308,22.0566043888019,0.6,0.6
WMaA21CORR6,0.829650325623738,0.829587822009571,21.0364937191948,22.1006828050312,16.9471367440713,0.8,0.8
WMaA21CUND6,0.834355233659661,0.794400292766925,17.8451418321751,19.2416746609033,13.4703698974446,0.8,0.6
WMaA21DAND6,0.814551296019399,0.700555323595782,24.1876092412967,29.8162913380094,19.6138623687091,0.8,0.4
WMaA21ENEA6,0.569574708563378,0.466447154334964,30.4828271912444,32.9388879674974,25.0414711887757,0.2,0.2
WMaA21ERAD6,0.860764569291601,0.819255623691408,11.2206387961643,12.6162406642437,9.02834033154598,0.6,0.6
WMaA21GIBS6,0.814745110333845,0.720983747018348,30.5732799803102,37.0335207044702,21.7554788612981,0.4,0.8
WMaA21GNOW6,0.744741348319806,0.637015953833178,24.2890720299886,28.2655897490749,18.0028236781184,0.8,0.6
WMaA21GRAC6,0.649658016257773,0.66222530471144,33.1306362791229,33.3954847381597,25.9443546059741,0.4,0.2
WMaA21HYDE6,0.863651218214985,0.844938899669696,20.9740144589441,21.6888586430156,16.7613884205779,0.8,0.8
WMaA21JERR6,0.812894334672771,0.730310423096382,20.3307655315296,24.1589577874164,16.3944659506701,0.6,0.4
WMaA21KALA6,0.780930389067223,0.745909705049485,19.8675390704246,20.8643813058003,16.0363985964205,0.4,0.4
WMaA21KELL6,0.638767119846688,0.677240916471041,25.3617334680107,24.3272239702275,19.9404890512288,0.4,0.4
WMaA21KOJO6,0.843415885071816,0.666129393247783,32.7550245525709,41.8299341559011,26.9032911665911,1,0.8
WMaA21KOND6,0.771296651429956,0.742942780846455,23.8247721956282,25.1215834265224,18.7426823727402,0.4,0.4
WMaA21KULI6,0.659139105389642,0.728469028793277,30.7600481989418,29.1679336850155,24.6189339679731,0.4,0.4
WMaA21MADD6,0.693224884157811,0.750816451411344,20.9702039182096,18.1676498986232,16.3814080119726,1,0.8
WMaA21MERR6,0.400127387520014,0.303221274336605,38.8886944779907,40.7065998308839,31.1600283237818,0.2,0
WMaA21MILI6,0.844857384492584,0.824509194581421,21.965263829219,23.9002973264046,17.2653148185664,0.6,0.6
WMaA21MING6,0.668096004910755,0.544820958686869,29.9340000955887,32.8355713703104,22.7012964393074,0.4,0.2
WMaA21MORA6,0.465138015148413,0.30473298875292,25.3662522171077,28.4792881109218,20.9478872376006,0.4,0.2
WMaA21MORK6,0.458121191952367,0.357581786761701,63.0755017272287,65.498236623259,51.7699466298971,0.6,0.6
WMaA21MUKI6,0.492428812007557,0.457056824210449,27.2358917428371,27.7741143473434,22.1061371214227,0.6,0.6
WMaA21MULL6,0.583188528255186,0.565370502260221,38.8465542932285,39.4452094827477,31.4022399691276,0.4,0.4
WMaA21MUNG6,0.728580180738795,0.707401200905641,22.4317620653517,23.2366791810278,17.7412977473987,1,0.6
WMaA21NABA6,0.724789349223051,0.608676187620086,33.1216053364961,35.4858277953429,26.7587945353214,0.8,0.6
